job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-0c345af1b09e,clusterA,ResNet-50,CIFAR-10,1,1763437809.6257646,1763438580.1718738,,770.5461091995239,,running
job-e2363ad94688,clusterA,ResNet-18,CIFAR-100,1,1763436512.2040927,1763438201.7382822,1763439182.1369007,1689.5341894626617,980.3986184597015,completed
job-6f20132c8955,clusterA,DistilBERT,SST-2,1,1763438615.49296,1763439182.8405502,,567.3475902080536,,running
job-b8524d374f6c,clusterB,EfficientNetV2-S,MNIST,1,1763434811.3692055,1763435386.5528595,1763439904.348667,575.1836540699005,4517.795807361603,completed
job-b3c00a8f928f,clusterB,DenseNet-121,TinyImageNet,1,1763435646.7098794,1763439904.639404,,4257.9295246601105,,running
job-0c77c10bad10,clusterA,EfficientNetV2-S,MNIST,1,1763436139.1303375,1763436473.8386447,1763440246.259633,334.70830726623535,3772.4209883213043,completed
job-6f886ad5cb37,clusterA,DistilBERT,SST-2,1,1763439904.9631588,1763440247.062348,,342.09918904304504,,running
job-0c345af1b09e,clusterA,ResNet-50,CIFAR-10,1,1763437809.6257646,1763438580.1718738,1763440876.2986982,770.5461091995239,2296.1268243789673,completed
job-0ee7f7774fc2,clusterA,DistilBERT,SST-2,1,1763433497.6387799,1763433658.618622,1763441368.033224,160.97984218597412,7709.4146020412445,completed
job-0c5a2fdf98f4,clusterA,DeepSpeech2,ARCTIC,2,1763438687.9810612,1763441368.331242,,2680.350180864334,,running
job-563bd37e3f8e,clusterB,DistilBERT,SST-2,1,1763433552.3659694,1763435386.5313933,1763441747.8375416,1834.1654238700867,6361.306148290634,completed
job-fe3e85c93828,clusterB,DeepSpeech2,ARCTIC,1,1763441592.3195064,1763441748.7783344,,156.4588279724121,,running
job-0c5a2fdf98f4,clusterA,DeepSpeech2,ARCTIC,2,1763438687.9810612,1763441368.331242,1763441798.5552378,2680.350180864334,430.2239956855774,completed
job-4c71cf6b2bec,clusterA,DeepSpeech2,ARCTIC,2,1763439245.6971142,1763441798.8705723,,2553.1734580993652,,running
job-fe3e85c93828,clusterB,DeepSpeech2,ARCTIC,1,1763441592.3195064,1763441748.7783344,1763441876.0398088,156.4588279724121,127.26147437095642,completed
job-3d3ff06e5dbe,clusterB,ResNet-18,CIFAR-100,1,1763441600.7028124,1763441876.980529,,276.2777166366577,,running
job-6f886ad5cb37,clusterA,DistilBERT,SST-2,1,1763439904.9631588,1763440247.062348,1763441949.2997646,342.09918904304504,1702.2374167442322,completed
job-4c71cf6b2bec,clusterA,DeepSpeech2,ARCTIC,2,1763439245.6971142,1763441798.8705723,1763442046.2100883,2553.1734580993652,247.33951592445374,completed
job-ad7fd28cade2,clusterA,DeepSpeech2,ARCTIC,2,1763439842.8732042,1763442047.2036202,,2204.3304159641266,,running
job-ad7fd28cade2,clusterA,DeepSpeech2,ARCTIC,2,1763439842.8732042,1763442047.2036202,1763442202.4151404,2204.3304159641266,155.21152019500732,completed
job-245fc1004220,clusterA,DistilBERT,SST-2,2,1763438861.4471874,1763442203.4088979,,3341.9617104530334,,running
job-6f20132c8955,clusterA,DistilBERT,SST-2,1,1763438615.49296,1763439182.8405502,1763442398.0037131,567.3475902080536,3215.163162946701,completed
job-071657d4ed7d,clusterA,DistilBERT,SST-2,2,1763439153.6846743,1763442398.668697,,3244.9840228557587,,running
job-3d3ff06e5dbe,clusterB,ResNet-18,CIFAR-100,1,1763441600.7028124,1763441876.980529,1763442911.0525455,276.2777166366577,1034.0720164775848,completed
job-136c31e1d30e,clusterB,DenseNet-121,TinyImageNet,1,1763443692.9450142,1763443693.1009579,,0.1559436321258545,,running
job-06ebcb69cd02,clusterB,DistilBERT,SST-2,2,1763433404.747366,1763435396.6041434,1763445832.599676,1991.8567774295807,10435.995532512665,completed
