model,sample_id,repeat,dir_correct,tol_0.1_hit,tol_0.2_hit,latency
pplx-sonar-pro,61,1,1,0,1,2.9694
pplx-sonar-pro,61,2,1,0,1,2.8665
pplx-sonar-pro,62,0,1,1,1,2.9737
pplx-sonar-pro,62,1,1,1,1,3.1242
pplx-sonar-pro,62,2,1,0,1,4.5497
pplx-sonar-pro,63,0,1,1,1,3.1789
pplx-sonar-pro,63,1,1,0,1,2.7607
pplx-sonar-pro,63,2,1,0,1,3.2763
pplx-sonar-pro,64,0,1,1,1,2.8669
pplx-sonar-pro,64,1,1,1,1,2.8978
pplx-sonar-pro,64,2,1,1,1,3.0489
pplx-sonar-pro,65,0,1,1,1,3.2690
pplx-sonar-pro,65,1,1,1,1,3.1710
pplx-sonar-pro,65,2,1,1,1,3.5619
pplx-sonar-pro,66,0,1,0,1,2.8829
pplx-sonar-pro,66,1,1,0,1,2.7731
pplx-sonar-pro,66,2,1,0,1,2.6615
pplx-sonar-pro,67,0,1,1,1,2.7121
pplx-sonar-pro,67,1,1,1,1,2.7913
pplx-sonar-pro,67,2,1,0,1,2.7935
pplx-sonar-pro,68,0,1,1,1,3.1127
pplx-sonar-pro,68,1,1,1,1,2.9257
pplx-sonar-pro,68,2,1,1,1,2.9182
pplx-sonar-pro,69,0,1,1,1,3.0206
pplx-sonar-pro,69,1,1,1,1,2.8346
pplx-sonar-pro,69,2,1,1,1,3.6177
pplx-sonar-pro,70,0,1,1,1,3.0735
pplx-sonar-pro,70,1,1,1,1,3.3751
pplx-sonar-pro,70,2,1,1,1,3.0446
pplx-sonar-pro,71,0,1,1,1,2.7544
pplx-sonar-pro,71,1,1,1,1,3.5193
pplx-sonar-pro,71,2,1,1,1,3.6858
pplx-sonar-pro,72,0,1,0,1,3.0184
pplx-sonar-pro,72,1,1,1,1,2.7162
pplx-sonar-pro,72,2,1,1,1,3.5843
pplx-sonar-pro,73,0,0,0,1,3.0736
pplx-sonar-pro,73,1,0,0,1,3.3775
pplx-sonar-pro,73,2,0,0,1,3.1735
pplx-sonar-pro,74,0,1,1,1,3.3786
pplx-sonar-pro,74,1,1,1,1,3.9934
pplx-sonar-pro,74,2,1,1,1,2.6623
pplx-sonar-pro,75,0,1,0,1,2.8157
pplx-sonar-pro,75,1,1,1,1,2.9181
pplx-sonar-pro,75,2,1,0,1,3.2080
pplx-sonar-pro,76,0,0,0,0,2.9374
pplx-sonar-pro,76,1,0,0,0,3.7193
pplx-sonar-pro,76,2,0,0,0,3.2470
pplx-sonar-pro,77,0,1,0,1,3.7837
pplx-sonar-pro,77,1,1,0,1,2.7653
pplx-sonar-pro,77,2,1,0,1,2.9695
pplx-sonar-pro,78,0,1,0,1,3.1729
pplx-sonar-pro,78,1,1,0,1,2.6169
pplx-sonar-pro,78,2,1,0,1,2.7340
pplx-sonar-pro,79,0,1,1,1,3.2500
pplx-sonar-pro,79,1,1,1,1,2.8976
pplx-sonar-pro,79,2,1,1,1,2.7768
pplx-sonar-pro,80,0,1,1,1,2.8253
pplx-sonar-pro,80,1,1,1,1,2.5582
pplx-sonar-pro,80,2,1,1,1,2.9716
