ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-18 23:13:14,started,job-fee4457ed8be,clusterB,2,"started_on=clusterB, g=2, nodes=['node_g', 'node_h'], queued_sec=0.19362783432006836","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""nodes"": [""node_g"", ""node_h""], ""queued_sec"": 0.19362783432006836, ""started_ts"": 1763475194.6366005}"
2025-11-18 23:18:57,submitted,job-4015dded961c,-,4,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2025-11-18 23:22:34,submitted,job-9121b6eb21d5,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else.""}"
2025-11-18 23:24:00,submitted,job-19ec5d8f9974,-,1,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed.""}"
2025-11-18 23:25:33,submitted,job-e834ec257f4f,-,4,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption.""}"
2025-11-18 23:28:36,finished,job-ca2f165af851,clusterB,2,exit=0,"{""end_ts"": 1763476116.3348415, ""jct_sec"": 1451.3740231990814, ""queued_sec"": 1.094874620437622}"
2025-11-18 23:35:02,submitted,job-1f44efa0f22b,-,2,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Balance between speed and cost. I don’t need the fastest result, just good efficiency overall.""}"
2025-11-18 23:36:35,submitted,job-7a7622e05d1a,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-11-18 23:37:30,submitted,job-90df451b95f0,-,1,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""user_request"": ""Balance between speed and cost. I don’t need the fastest result, just good efficiency overall.""}"
2025-11-18 23:38:55,finished,job-ee9d4afd8320,clusterA,1,exit=0,"{""end_ts"": 1763476735.2558827, ""jct_sec"": 1540.668939113617, ""queued_sec"": 0.6532042026519775}"
2025-11-18 23:48:15,submitted,job-2d4dabde4d2d,-,2,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed.""}"
2025-11-18 23:54:49,submitted,job-d1d756ea9ece,-,4,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available.""}"
2025-11-18 23:57:46,submitted,job-35e59f038d19,-,2,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled.""}"
2025-11-18 23:58:29,submitted,job-9b302132f812,-,1,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily.""}"
2025-11-19 00:08:09,finished,job-fee4457ed8be,clusterB,2,exit=0,"{""end_ts"": 1763478489.606235, ""jct_sec"": 3294.9696345329285, ""queued_sec"": 0.19362783432006836}"
