job_id,cluster,model,dataset,world_size,train_time_sec,queued_sec,queued_calc,jct_sec,tct_calc,queued_diff,jct_diff,final_accuracy,suspicion_score,f_missing_ts,f_time_order,f_train_bad,f_queue_mis,f_jct_mis,f_acc_zero
job-19e26affe2b8,clusterB,ResNet-18,CIFAR-100,1,2019.8070847988129,1725.953298,1725.9532980918884,3745.760383,3745.7603828907013,9.188852345687337e-08,1.0929852578556165e-07,13.21,0,False,False,False,False,False,False
job-3e7dea760448,clusterA,ResNet-50,CIFAR-10,1,2248.2151889801025,916.475726,916.4757261276245,3164.690915,3164.690915107727,1.27624502965773e-07,1.0772691894089803e-07,85.94,0,False,False,False,False,False,False
job-8fddd7e82312,clusterA,DistilBERT,SST-2,1,1819.8134329319,54.559208,54.55920696258545,1874.37264,1874.3726398944855,1.0374145489322473e-06,1.0551457307883538e-07,50.917431,0,False,False,False,False,False,False
job-b5f707ff9dc1,clusterA,DeepSpeech2,ARCTIC,1,173.92105507850647,0.648745,0.6487448215484619,174.5698,174.56979990005493,1.784515381020313e-07,9.994505489885341e-08,8.870603,0,False,False,False,False,False,False
job-44033c137fca,clusterA,EfficientNetV2-S,MNIST,2,2699.0752630233765,0.700549,0.7005488872528076,2699.775812,2699.7758119106293,1.1274719236009645e-07,8.937058737501502e-08,54.57,0,False,False,False,False,False,False
job-c32adeb5dc90,clusterB,DenseNet-121,TinyImageNet,4,2078.2939829826355,1753.636221,1753.6362209320068,3831.930204,3831.9302039146423,6.799314178351779e-08,8.535744200344197e-08,9.46,0,False,False,False,False,False,False
job-9786cfca4671,clusterA,EfficientNetV2-S,MNIST,1,3960.8359940052032,0.148285,0.148284912109375,3960.984279,3960.9842789173126,8.789062500014211e-08,8.268716555903666e-08,99.54,0,False,False,False,False,False,False
job-1ecb4752fe1b,clusterA,ResNet-18,CIFAR-100,1,949.4498751163483,1099.251195,1099.2511949539185,2048.70107,2048.7010700702667,4.60815954284044e-08,7.026665116427466e-08,62.72,0,False,False,False,False,False,False
job-b85951c75515,clusterA,DistilBERT,SST-2,1,1788.3368380069733,0.094567,0.09456706047058105,1788.431405,1788.4314050674438,6.047058105640435e-08,6.744380698364694e-08,50.917431,0,False,False,False,False,False,False
job-305f13656c7f,clusterA,EfficientNetV2-S,MNIST,1,3927.573632955551,98.879573,98.87957310676575,4026.453206,4026.453206062317,1.0676575357138063e-07,6.23167579760775e-08,99.52,0,False,False,False,False,False,False
job-19e76a7bcd79,clusterA,ResNet-50,CIFAR-10,1,2335.5863049030304,0.880125,0.8801250457763672,2336.46643,2336.4664299488068,4.577636714131472e-08,5.11931830260437e-08,85.65,0,False,False,False,False,False,False
job-b182031da1ad,clusterB,DistilBERT,SST-2,1,2295.041163921356,0.078606,0.07860612869262695,2295.11977,2295.119770050049,1.286926269578048e-07,5.0049038691213354e-08,50.917431,0,False,False,False,False,False,False
job-0bc1f00a105a,clusterA,ResNet-18,CIFAR-100,1,1014.8624730110168,0.065651,0.06565093994140625,1014.928124,1014.9281239509583,6.005859375102229e-08,4.9041773308999836e-08,59.05,0,False,False,False,False,False,False
job-3da78ab9cc91,clusterA,DeepSpeech2,ARCTIC,1,172.92853116989136,673.376521,673.3765208721161,846.305052,846.3050520420074,1.2788393632945372e-07,4.2007400224974845e-08,8.963608,0,False,False,False,False,False,False
job-b13502ebf55d,clusterB,DistilBERT,SST-2,1,1958.1495921611786,2959.209403,2959.2094027996063,4917.358995,4917.358994960785,2.0039351511513814e-07,3.921468305634335e-08,50.917431,0,False,False,False,False,False,False
job-eeea888a12d5,clusterB,DenseNet-121,TinyImageNet,4,1837.9703328609467,449.34177,449.34177017211914,2287.312103,2287.312103033066,1.7211914382642135e-07,3.306558937765658e-08,10.55,0,False,False,False,False,False,False
job-895f09214b46,clusterB,DenseNet-121,TinyImageNet,4,1829.2405531406403,1998.753286,1998.7532858848572,3827.993839,3827.9938390254974,1.1514271136547904e-07,2.5497229216853157e-08,9.43,0,False,False,False,False,False,False
job-7d24aff7737a,clusterA,EfficientNetV2-S,MNIST,1,3839.643315076828,0.095821,0.09582090377807617,3839.739136,3839.739135980606,9.622192383151873e-08,1.9394065020605922e-08,99.57,0,False,False,False,False,False,False
job-c2035056916a,clusterA,DeepSpeech2,ARCTIC,1,163.1098599433899,0.407885,0.4078850746154785,163.517745,163.51774501800537,7.461547851805861e-08,1.8005380297836382e-08,10.306235,0,False,False,False,False,False,False
job-e1b99f7475a8,clusterB,DenseNet-121,TinyImageNet,4,1800.6612260341644,2011.156319,2011.156317949295,3811.817544,3811.8175439834595,1.050704895533272e-06,1.654052539379336e-08,11.65,0,False,False,False,False,False,False
job-0b05369569e5,clusterA,DeepSpeech2,ARCTIC,1,168.00425386428833,1.037413,1.0374131202697754,169.041667,169.0416669845581,1.2026977547208162e-07,1.5441884215761092e-08,1.331644,0,False,False,False,False,False,False
job-610b4f223d5f,clusterB,DistilBERT,SST-2,1,2304.021100997925,0.089128,0.08912801742553711,2304.110229,2304.1102290153503,1.742553711048256e-08,1.5350451576523483e-08,50.917431,0,False,False,False,False,False,False
job-412e53126db2,clusterA,DistilBERT,SST-2,1,1799.2280550003052,927.846766,927.8467659950256,2727.074821,2727.074820995331,4.974367584509309e-09,4.6693457989022136e-09,50.917431,0,False,False,False,False,False,False
job-cf4dd60d0c3f,clusterB,DistilBERT,SST-2,1,1753.204656124115,0.623541,0.6235408782958984,1753.828197,1753.828197002411,1.217041015744158e-07,2.4108430807245895e-09,50.917431,0,False,False,False,False,False,False
