ts,event,job_id,queue_len,note
2025-12-31 18:32:10,dequeue_global,job-3c2e618e3134,16,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=16 clusterq_len=16 req_id=job-3c2e618e3134-bf3cd4c291 queued_delta=8984.842674
2025-12-31 18:32:10,dequeue_home,job-3c2e618e3134,16,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-3c2e618e3134-bf3cd4c291 queued_delta=8984.842674
2025-12-31 18:32:10,queue_dequeued_by_hol,job-3c2e618e3134,16,cluster=clusterA g=1 kind0=HOME qcid0=clusterA qlen_eligible=16 qlen_home=16 qlen_clusterq=16 qlen_global=16
2025-12-31 18:32:43,enqueue,job-2198e4f3f7a6,17,src=HOME kind=HOME cluster=clusterA qlen_home=17 qlen_global=17 inserted=True
2025-12-31 18:40:56,enqueue,job-aef414168c61,1,src=HOME kind=HOME cluster=clusterB qlen_home=1 qlen_global=18 inserted=True
2025-12-31 18:40:56,dequeue_global,job-aef414168c61,17,cluster=clusterB g=1 home_qcid=clusterB prev_kind=HOME home_len=0 clusterq_len=0 req_id=job-aef414168c61-d54b996e47 queued_delta=0.134565
2025-12-31 18:40:56,dequeue_home,job-aef414168c61,0,home_qcid=clusterB run_cluster=clusterB g=1 req_id=job-aef414168c61-d54b996e47 queued_delta=0.134565
2025-12-31 18:40:56,queue_dequeued_by_hol,job-aef414168c61,0,cluster=clusterB g=1 kind0=HOME qcid0=clusterB qlen_eligible=0 qlen_home=0 qlen_clusterq=0 qlen_global=17
2025-12-31 18:41:06,enqueue,job-c36df8fd1a13,18,src=HOME kind=HOME cluster=clusterA qlen_home=18 qlen_global=18 inserted=True
2025-12-31 18:45:43,enqueue,job-a8c227676f90,19,src=HOME kind=HOME cluster=clusterA qlen_home=19 qlen_global=19 inserted=True
2025-12-31 18:45:49,enqueue,job-68c20003863f,20,src=HOME kind=HOME cluster=clusterA qlen_home=20 qlen_global=20 inserted=True
2025-12-31 18:45:57,enqueue,job-659378d2f54f,21,src=HOME kind=HOME cluster=clusterA qlen_home=21 qlen_global=21 inserted=True
2025-12-31 18:53:22,enqueue,job-7ac1b7eb7984,22,src=HOME kind=HOME cluster=clusterA qlen_home=22 qlen_global=22 inserted=True
2025-12-31 19:09:25,enqueue,job-07e81079cd4a,23,src=HOME kind=HOME cluster=clusterA qlen_home=23 qlen_global=23 inserted=True
2025-12-31 19:11:17,enqueue,job-fa07dc88fa67,24,src=HOME kind=HOME cluster=clusterA qlen_home=24 qlen_global=24 inserted=True
2025-12-31 19:17:49,enqueue,job-451576657240,25,src=HOME kind=HOME cluster=clusterA qlen_home=25 qlen_global=25 inserted=True
2025-12-31 19:18:36,enqueue,job-5e0b274c6b28,26,src=HOME kind=HOME cluster=clusterA qlen_home=26 qlen_global=26 inserted=True
2025-12-31 19:25:28,enqueue,job-7233d3c442f4,27,src=HOME kind=HOME cluster=clusterA qlen_home=27 qlen_global=27 inserted=True
2025-12-31 19:26:33,dequeue_global,job-f97b75fa3a12,26,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=26 clusterq_len=26 req_id=job-f97b75fa3a12-60071e079c queued_delta=11280.279250
2025-12-31 19:26:33,dequeue_home,job-f97b75fa3a12,26,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-f97b75fa3a12-60071e079c queued_delta=11280.279250
2025-12-31 19:28:28,enqueue,job-4f196fe5da15,27,src=HOME kind=HOME cluster=clusterA qlen_home=27 qlen_global=27 inserted=True
2025-12-31 19:28:32,enqueue,job-d4c39f03a045,28,src=HOME kind=HOME cluster=clusterA qlen_home=28 qlen_global=28 inserted=True
2025-12-31 19:31:06,dequeue_global,job-6f837c056b95,27,cluster=clusterA g=2 home_qcid=clusterA prev_kind=HOME home_len=27 clusterq_len=27 req_id=job-6f837c056b95-3c906b201c queued_delta=10254.488582
2025-12-31 19:31:06,dequeue_home,job-6f837c056b95,27,home_qcid=clusterA run_cluster=clusterA g=2 req_id=job-6f837c056b95-3c906b201c queued_delta=10254.488582
2025-12-31 20:19:22,dequeue_global,job-469089faa65b,26,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=26 clusterq_len=26 req_id=job-469089faa65b-a9a7530b0c queued_delta=12342.596684
2025-12-31 20:19:22,dequeue_home,job-469089faa65b,26,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-469089faa65b-a9a7530b0c queued_delta=12342.596684
2025-12-31 21:30:14,dequeue_global,job-53057db2c0ae,25,cluster=clusterA g=2 home_qcid=clusterA prev_kind=HOME home_len=25 clusterq_len=25 req_id=job-53057db2c0ae-1e3f42cf5e queued_delta=16521.267779
2025-12-31 21:30:14,dequeue_home,job-53057db2c0ae,25,home_qcid=clusterA run_cluster=clusterA g=2 req_id=job-53057db2c0ae-1e3f42cf5e queued_delta=16521.267779
2025-12-31 22:01:52,dequeue_global,job-b126a5271bb7,24,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=24 clusterq_len=24 req_id=job-b126a5271bb7-3dec657927 queued_delta=16896.748398
