ts,cluster,queue_len,total_gpus,used_gpus,free_gpus,util,price_per_gpu_hour,speed_factor,energy_pressure,cost_norm,speed_norm
2025-12-22 20:55:32,clusterB,0,4,0,4,0.0,1.0,1.0,0.06734,1.0,1.0
2025-12-22 20:55:33,clusterA,0,4,0,4,0.0,1.0,1.0,0.010135,1.0,1.0
2025-12-22 20:55:33,clusterB,0,4,0,4,0.0,1.0,1.0,0.06748900000000001,1.0,1.0
2025-12-22 20:55:34,clusterA,0,4,0,4,0.0,1.0,1.0,0.010135,1.0,1.0
2025-12-22 20:55:34,clusterB,0,4,0,4,0.0,1.0,1.0,0.06748900000000001,1.0,1.0
2025-12-22 20:55:35,clusterA,0,4,0,4,0.0,1.0,1.0,0.010135,1.0,1.0
2025-12-22 20:55:35,clusterB,0,4,0,4,0.0,1.0,1.0,0.067509,1.0,1.0
2025-12-22 20:55:36,clusterA,0,4,0,4,0.0,1.0,1.0,0.010053000000000001,1.0,1.0
2025-12-22 20:55:36,clusterB,0,4,0,4,0.0,1.0,1.0,0.067371,1.0,1.0
2025-12-22 20:55:37,clusterA,0,4,0,4,0.0,1.0,1.0,0.010053000000000001,1.0,1.0
2025-12-22 20:55:37,clusterB,0,4,0,4,0.0,1.0,1.0,0.067193,1.0,1.0
2025-12-22 20:55:38,clusterA,0,4,0,4,0.0,1.0,1.0,0.010053000000000001,1.0,1.0
2025-12-22 20:55:38,clusterB,0,4,0,4,0.0,1.0,1.0,0.066988,1.0,1.0
2025-12-22 20:55:39,clusterA,0,4,0,4,0.0,1.0,1.0,0.010053000000000001,1.0,1.0
2025-12-22 20:55:39,clusterB,0,4,0,4,0.0,1.0,1.0,0.066988,1.0,1.0
2025-12-22 20:55:40,clusterA,0,4,0,4,0.0,1.0,1.0,0.010053000000000001,1.0,1.0
2025-12-22 20:55:40,clusterB,0,4,0,4,0.0,1.0,1.0,0.066949,1.0,1.0
2025-12-22 20:55:41,clusterA,0,4,0,4,0.0,1.0,1.0,0.010060000000000001,1.0,1.0
2025-12-22 20:55:41,clusterB,0,4,0,4,0.0,1.0,1.0,0.066951,1.0,1.0
2025-12-22 20:55:42,clusterA,0,4,0,4,0.0,1.0,1.0,0.010060000000000001,1.0,1.0
2025-12-22 20:55:42,clusterB,0,4,0,4,0.0,1.0,1.0,0.067048,1.0,1.0
2025-12-22 20:55:43,clusterA,0,4,0,4,0.0,1.0,1.0,0.010060000000000001,1.0,1.0
2025-12-22 20:55:43,clusterB,0,4,0,4,0.0,1.0,1.0,0.066941,1.0,1.0
2025-12-22 20:55:44,clusterA,0,4,0,4,0.0,1.0,1.0,0.010060000000000001,1.0,1.0
2025-12-22 20:55:44,clusterB,0,4,0,4,0.0,1.0,1.0,0.066941,1.0,1.0
2025-12-22 20:55:45,clusterA,0,4,0,4,0.0,1.0,1.0,0.010060000000000001,1.0,1.0
2025-12-22 20:55:45,clusterB,0,4,0,4,0.0,1.0,1.0,0.066939,1.0,1.0
2025-12-22 20:55:46,clusterA,0,4,0,4,0.0,1.0,1.0,0.010032,1.0,1.0
2025-12-22 20:55:46,clusterB,0,4,0,4,0.0,1.0,1.0,0.06679,1.0,1.0
2025-12-22 20:55:47,clusterA,0,4,0,4,0.0,1.0,1.0,0.010032,1.0,1.0
2025-12-22 20:55:47,clusterB,0,4,0,4,0.0,1.0,1.0,0.06675199999999999,1.0,1.0
2025-12-22 20:55:48,clusterA,0,4,0,4,0.0,1.0,1.0,0.010032,1.0,1.0
2025-12-22 20:55:48,clusterB,0,4,0,4,0.0,1.0,1.0,0.06676399999999999,1.0,1.0
2025-12-22 20:55:49,clusterA,0,4,0,4,0.0,1.0,1.0,0.010032,1.0,1.0
2025-12-22 20:55:49,clusterB,0,4,0,4,0.0,1.0,1.0,0.06676399999999999,1.0,1.0
2025-12-22 20:55:50,clusterA,0,4,0,4,0.0,1.0,1.0,0.010032,1.0,1.0
2025-12-22 20:55:50,clusterB,0,4,0,4,0.0,1.0,1.0,0.066964,1.0,1.0
2025-12-22 20:55:51,clusterA,0,4,0,4,0.0,1.0,1.0,0.010175,1.0,1.0
2025-12-22 20:55:51,clusterB,0,4,0,4,0.0,1.0,1.0,0.067104,1.0,1.0
2025-12-22 20:55:52,clusterA,0,4,0,4,0.0,1.0,1.0,0.010175,1.0,1.0
2025-12-22 20:55:52,clusterB,0,4,0,4,0.0,1.0,1.0,0.06712699999999999,1.0,1.0
2025-12-22 20:55:53,clusterA,0,4,0,4,0.0,1.0,1.0,0.010175,1.0,1.0
2025-12-22 20:55:53,clusterB,0,4,0,4,0.0,1.0,1.0,0.067146,1.0,1.0
2025-12-22 20:55:54,clusterA,0,4,0,4,0.0,1.0,1.0,0.010175,1.0,1.0
2025-12-22 20:55:54,clusterB,0,4,0,4,0.0,1.0,1.0,0.067146,1.0,1.0
2025-12-22 20:55:55,clusterA,0,4,0,4,0.0,1.0,1.0,0.010175,1.0,1.0
2025-12-22 20:55:55,clusterB,0,4,0,4,0.0,1.0,1.0,0.067074,1.0,1.0
2025-12-22 20:55:56,clusterA,0,4,0,4,0.0,1.0,1.0,0.010128,1.0,1.0
2025-12-22 20:55:56,clusterB,0,4,0,4,0.0,1.0,1.0,0.06721200000000001,1.0,1.0
2025-12-22 20:55:57,clusterA,0,4,0,4,0.0,1.0,1.0,0.010128,1.0,1.0
2025-12-22 20:55:57,clusterB,0,4,0,4,0.0,1.0,1.0,0.06707500000000001,1.0,1.0
2025-12-22 20:55:58,clusterA,0,4,0,4,0.0,1.0,1.0,0.010128,1.0,1.0
2025-12-22 20:55:58,clusterB,0,4,0,4,0.0,1.0,1.0,0.067077,1.0,1.0
2025-12-22 20:55:59,clusterA,0,4,0,4,0.0,1.0,1.0,0.010128,1.0,1.0
2025-12-22 20:55:59,clusterB,0,4,0,4,0.0,1.0,1.0,0.067077,1.0,1.0
2025-12-22 20:56:00,clusterA,0,4,0,4,0.0,1.0,1.0,0.010128,1.0,1.0
2025-12-22 20:56:00,clusterB,0,4,0,4,0.0,1.0,1.0,0.06706000000000001,1.0,1.0
2025-12-22 20:56:01,clusterA,0,4,0,4,0.0,1.0,1.0,0.010045,1.0,1.0
2025-12-22 20:56:01,clusterB,0,4,0,4,0.0,1.0,1.0,0.066887,1.0,1.0
2025-12-22 20:56:02,clusterA,0,4,0,4,0.0,1.0,1.0,0.010045,1.0,1.0
2025-12-22 20:56:02,clusterB,0,4,0,4,0.0,1.0,1.0,0.066887,1.0,1.0
2025-12-22 20:56:03,clusterA,0,4,0,4,0.0,1.0,1.0,0.010045,1.0,1.0
2025-12-22 20:56:03,clusterB,0,4,0,4,0.0,1.0,1.0,0.06726399999999999,1.0,1.0
2025-12-22 20:56:04,clusterA,0,4,0,4,0.0,1.0,1.0,0.010045,1.0,1.0
2025-12-22 20:56:04,clusterB,0,4,0,4,0.0,1.0,1.0,0.06726399999999999,1.0,1.0
2025-12-22 20:56:05,clusterA,0,4,0,4,0.0,1.0,1.0,0.010045,1.0,1.0
2025-12-22 20:56:05,clusterB,0,4,0,4,0.0,1.0,1.0,0.067271,1.0,1.0
2025-12-22 20:56:06,clusterA,0,4,0,4,0.0,1.0,1.0,0.010045,1.0,1.0
2025-12-22 20:56:06,clusterB,0,4,0,4,0.0,1.0,1.0,0.06732900000000001,1.0,1.0
2025-12-22 20:56:07,clusterA,0,4,0,4,0.0,1.0,1.0,0.009952,1.0,1.0
2025-12-22 20:56:07,clusterB,0,4,0,4,0.0,1.0,1.0,0.06732900000000001,1.0,1.0
2025-12-22 20:56:08,clusterA,0,4,0,4,0.0,1.0,1.0,0.009952,1.0,1.0
2025-12-22 20:56:08,clusterB,0,4,0,4,0.0,1.0,1.0,0.067375,1.0,1.0
2025-12-22 20:56:09,clusterA,0,4,0,4,0.0,1.0,1.0,0.009952,1.0,1.0
2025-12-22 20:56:09,clusterB,0,4,0,4,0.0,1.0,1.0,0.067375,1.0,1.0
2025-12-22 20:56:10,clusterA,0,4,0,4,0.0,1.0,1.0,0.009952,1.0,1.0
2025-12-22 20:56:10,clusterB,0,4,0,4,0.0,1.0,1.0,0.06729900000000001,1.0,1.0
2025-12-22 20:56:11,clusterA,0,4,0,4,0.0,1.0,1.0,0.009952,1.0,1.0
2025-12-22 20:56:11,clusterB,0,4,0,4,0.0,1.0,1.0,0.067288,1.0,1.0
2025-12-22 20:56:12,clusterA,0,4,0,4,0.0,1.0,1.0,0.010033,1.0,1.0
2025-12-22 20:56:12,clusterB,0,4,0,4,0.0,1.0,1.0,0.067288,1.0,1.0
2025-12-22 20:56:13,clusterA,0,4,0,4,0.0,1.0,1.0,0.010033,1.0,1.0
2025-12-22 20:56:13,clusterB,0,4,0,4,0.0,1.0,1.0,0.06737,1.0,1.0
2025-12-22 20:56:14,clusterA,0,4,0,4,0.0,1.0,1.0,0.010033,1.0,1.0
2025-12-22 20:56:14,clusterB,0,4,0,4,0.0,1.0,1.0,0.067248,1.0,1.0
2025-12-22 20:56:15,clusterA,0,4,0,4,0.0,1.0,1.0,0.010033,1.0,1.0
2025-12-22 20:56:15,clusterB,0,4,0,4,0.0,1.0,1.0,0.067312,1.0,1.0
2025-12-22 20:56:16,clusterA,0,4,0,4,0.0,1.0,1.0,0.010033,1.0,1.0
2025-12-22 20:56:16,clusterB,0,4,0,4,0.0,1.0,1.0,0.067387,1.0,1.0
2025-12-22 20:56:17,clusterA,0,4,0,4,0.0,1.0,1.0,0.010034000000000001,1.0,1.0
2025-12-22 20:56:17,clusterB,0,4,0,4,0.0,1.0,1.0,0.067387,1.0,1.0
2025-12-22 20:56:18,clusterA,0,4,0,4,0.0,1.0,1.0,0.010034000000000001,1.0,1.0
2025-12-22 20:56:18,clusterB,0,4,0,4,0.0,1.0,1.0,0.067428,1.0,1.0
2025-12-22 20:56:19,clusterA,0,4,0,4,0.0,1.0,1.0,0.010034000000000001,1.0,1.0
2025-12-22 20:56:19,clusterB,0,4,0,4,0.0,1.0,1.0,0.067325,1.0,1.0
2025-12-22 20:56:20,clusterA,0,4,0,4,0.0,1.0,1.0,0.010034000000000001,1.0,1.0
2025-12-22 20:56:20,clusterB,0,4,0,4,0.0,1.0,1.0,0.067325,1.0,1.0
2025-12-22 20:56:21,clusterA,0,4,0,4,0.0,1.0,1.0,0.010034000000000001,1.0,1.0
2025-12-22 20:56:21,clusterB,0,4,0,4,0.0,1.0,1.0,0.067325,1.0,1.0
