model,sample_id,repeat,dir_correct,tol_0.1_hit,tol_0.2_hit,latency
gpt-4o,72,2,1,0,1,0.8602
gpt-4o,73,0,0,0,1,0.8161
gpt-4o,73,1,0,0,1,1.1263
gpt-4o,73,2,0,0,1,1.1290
gpt-4o,74,0,1,1,1,0.9184
gpt-4o,74,1,1,1,1,0.9230
gpt-4o,74,2,1,1,1,1.0314
gpt-4o,75,0,1,0,1,0.9139
gpt-4o,75,1,1,0,1,0.9198
gpt-4o,75,2,1,0,1,0.8185
gpt-4o,76,0,0,0,0,0.8192
gpt-4o,76,1,0,0,0,1.2286
gpt-4o,76,2,0,0,0,0.8191
gpt-4o,77,0,1,0,1,1.3343
gpt-4o,77,1,1,0,1,1.2250
gpt-4o,77,2,1,0,1,1.1546
gpt-4o,78,0,1,1,1,0.7909
gpt-4o,78,1,1,1,1,1.0928
gpt-4o,78,2,1,1,1,0.6838
gpt-4o,79,0,1,0,1,1.0893
gpt-4o,79,1,1,0,1,0.8214
gpt-4o,79,2,1,0,1,0.7165
gpt-4o,80,0,1,1,1,1.0229
gpt-4o,80,1,1,1,1,1.2413
gpt-4o,80,2,1,1,1,1.1123
