job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_ms,jct_ms,status
job-a9315d01ffab,clusterA,DenseNet-121,TinyImageNet,1,1763027003.790243,1763029897.3643303,1763037958.228744,2893574,8060864,completed
job-5753c60f1895,clusterA,DistilBERT,SST-2,1,1763038281.3277173,1763038281.8986256,,570,,running
job-061af06fd3c4,clusterA,DeepSpeech2,ARCTIC,1,1763038684.6401293,1763038685.3464687,,706,,running
job-061af06fd3c4,clusterA,DeepSpeech2,ARCTIC,1,1763038684.6401293,1763038685.3464687,1763038691.8732,706,6526,completed
job-8dd037df5fd6,clusterA,DenseNet-121,TinyImageNet,2,1763034943.7923899,1763034944.2283869,1763040964.3044763,435,6020076,completed
job-535d0566717b,clusterA,ResNet-18,CIFAR-100,2,1763038744.2681854,1763040969.3801713,,2225111,,running
job-84fcc25d204a,clusterA,DenseNet-121,TinyImageNet,1,1763038815.9755728,1763040969.4003427,,2153424,,running
job-5753c60f1895,clusterA,DistilBERT,SST-2,1,1763038281.3277173,1763038281.8986256,1763041409.6011515,570,3127702,completed
job-535d0566717b,clusterA,ResNet-18,CIFAR-100,2,1763038744.2681854,1763040969.3801713,1763042330.4679286,2225111,1361087,completed
job-2c9d6ed86930,clusterA,ResNet-50,CIFAR-10,2,1763038859.089527,1763042335.5431404,,3476453,,running
job-2c9d6ed86930,clusterA,ResNet-50,CIFAR-10,2,1763038859.089527,1763042335.5431404,1763043844.1420305,3476453,1508598,completed
job-dd7cfd5c2ba0,clusterA,ResNet-18,CIFAR-100,2,1763039515.0624132,1763043849.2219694,,4334159,,running
job-17af7469662b,clusterA,EfficientNetV2-S,MNIST,1,1763039527.3414545,1763043849.2410123,,4321899,,running
job-dd7cfd5c2ba0,clusterA,ResNet-18,CIFAR-100,2,1763039515.0624132,1763043849.2219694,1763043859.0366113,4334159,9814,completed
job-17af7469662b,clusterA,EfficientNetV2-S,MNIST,1,1763039527.3414545,1763043849.2410123,1763043860.166492,4321899,10925,completed
job-ba4361eb580c,clusterB,DistilBERT,SST-2,2,1763037008.013543,1763037008.5123637,1763047027.229405,498,10018717,completed
